student_id,attendance_percentage,assignment_average,internal_marks,previous_sem_gpa,at_risk
S2000,84,89,95,8.23,0
S2001,75,100,87,5.86,0
S2002,86,49,67,5.39,1
S2003,98,87,63,6.84,0
S2004,74,59,77,6.54,1
S2005,74,62,72,6.04,1
S2006,98,67,86,8.09,0
S2007,88,59,79,8.55,1
S2008,71,70,84,7.0,1
S2009,85,59,58,9.48,1
S2010,71,74,89,4.81,1
S2011,71,68,69,6.5,1
S2012,81,68,100,5.57,0
S2013,52,47,47,4.0,1
S2014,54,54,90,6.7,1
S2015,70,82,71,6.63,1
S2016,64,76,54,9.54,1
S2017,81,55,57,7.97,1
S2018,65,69,59,5.02,1
S2019,58,79,72,10.0,1
S2020,97,47,77,9.02,1
S2021,74,80,58,7.88,1
S2022,78,60,65,6.44,1
S2023,58,75,100,5.14,1
S2024,70,55,93,6.18,1
S2025,79,40,70,8.79,1
S2026,62,38,60,10.0,1
S2027,82,73,71,9.59,0
S2028,69,73,76,5.98,1
S2029,73,54,47,4.85,1
S2030,69,80,63,7.1,1
S2031,100,49,40,4.0,1
S2032,77,70,74,7.42,1
S2033,63,45,72,6.58,1
S2034,88,63,60,6.02,1
S2035,61,67,90,4.01,1
S2036,80,57,45,7.76,1
S2037,51,56,35,5.9,1
S2038,60,84,70,4.76,1
S2039,80,62,84,4.0,1
S2040,87,89,100,6.8,0
S2041,80,52,57,10.0,1
S2042,76,80,87,9.8,0
S2043,73,95,69,6.03,1
S2044,58,35,55,5.77,1
S2045,68,54,78,7.68,1
S2046,71,79,78,5.07,1
S2047,91,72,43,7.38,1
S2048,82,79,95,8.21,0
S2049,54,53,83,9.03,1
S2050,82,74,58,6.67,1
S2051,72,67,72,6.48,1
S2052,68,89,77,5.28,1
S2053,85,78,74,5.37,1
S2054,91,81,62,6.44,0
S2055,90,68,58,7.5,1
S2056,66,59,63,8.47,1
S2057,73,62,85,5.42,1
S2058,82,79,79,9.5,0
S2059,90,67,63,6.36,1
S2060,71,74,80,6.81,1
S2061,75,100,35,5.52,1
S2062,62,82,86,4.0,1
S2063,61,60,35,8.42,1
S2064,88,96,67,8.16,0
S2065,95,69,52,6.34,1
S2066,76,35,40,6.97,1
S2067,91,57,88,7.76,0
S2068,82,39,56,4.06,1
S2069,69,62,70,5.9,1
S2070,82,73,68,8.26,1
S2071,98,100,84,4.61,0
S2072,77,77,70,7.37,1
S2073,98,73,50,4.43,1
S2074,50,78,80,7.68,1
S2075,88,35,56,6.78,1
S2076,78,75,42,4.0,1
S2077,73,83,61,8.92,1
S2078,78,45,89,5.54,1
S2079,51,83,78,5.4,1
S2080,74,76,62,7.2,1
S2081,82,65,61,8.89,1
S2082,97,88,68,5.04,0
S2083,70,100,100,6.96,0
S2084,66,71,72,7.61,1
S2085,71,74,74,8.08,1
S2086,90,67,87,7.16,0
S2087,82,57,70,6.19,1
S2088,70,84,63,5.37,1
S2089,84,58,63,7.0,1
S2090,79,73,67,4.94,1
S2091,90,66,69,4.0,1
S2092,68,77,79,7.62,1
S2093,73,76,68,8.46,1
